FID,IID,Year_Batch
313,313,B6
201,201,B3
357,357,B7
116,116,B1
396,396,B8
202,202,B3
397,397,B8
118,118,B1
358,358,B7
278,278,B5
185,185,B3
186,186,B3
243,243,B4
315,315,B6
359,359,B7
122,122,B1
123,123,B1
161,161,B2
124,124,B1
162,162,B2
125,125,B1
279,279,B5
203,203,B3
126,126,B1
204,204,B3
280,280,B5
360,360,B7
205,205,B3
281,281,B5
127,127,B1
316,316,B6
128,128,B1
129,129,B1
130,130,B1
187,187,B3
109,109,B1
110,110,B1
111,111,B1
324,324,B7
293,293,B6
294,294,B6
188,188,B3
295,295,B6
296,296,B6
112,112,B1
246,246,B5
135,135,B2
136,136,B2
137,137,B2
247,247,B5
174,174,B3
175,175,B3
285,285,B6
400,400,B9
139,139,B2
140,140,B2
158,158,B2
274,274,B5
157,157,B2
159,159,B2
242,242,B4
160,160,B2
190,190,B3
298,298,B6
221,221,B4
222,222,B4
299,299,B6
223,223,B4
224,224,B4
225,225,B4
257,257,B5
226,226,B4
258,258,B5
227,227,B4
259,259,B5
300,300,B6
260,260,B5
228,228,B4
261,261,B5
262,262,B5
301,301,B6
302,302,B6
263,263,B5
303,303,B6
363,363,B8
229,229,B4
230,230,B4
231,231,B4
232,232,B4
233,233,B4
304,304,B6
364,364,B8
305,305,B6
401,401,B9
234,234,B4
264,264,B5
235,235,B4
265,265,B5
266,266,B5
236,236,B4
267,267,B5
268,268,B5
306,306,B6
269,269,B5
402,402,B9
365,365,B8
270,270,B5
237,237,B4
238,238,B4
307,307,B6
366,366,B8
271,271,B5
367,367,B8
272,272,B5
308,308,B6
239,239,B4
240,240,B4
241,241,B4
309,309,B6
273,273,B5
310,310,B6
311,311,B6
403,403,B9
368,368,B8
369,369,B8
404,404,B9
370,370,B8
405,405,B9
371,371,B8
406,406,B9
372,372,B8
407,407,B9
373,373,B8
325,325,B7
374,374,B8
408,408,B9
409,409,B9
410,410,B9
375,375,B8
411,411,B9
376,376,B8
377,377,B8
326,326,B7
327,327,B7
328,328,B7
412,412,B9
378,378,B8
413,413,B9
414,414,B9
380,380,B8
381,381,B8
382,382,B8
416,416,B9
329,329,B7
417,417,B9
330,330,B7
418,418,B9
383,383,B8
419,419,B9
198,198,B3
200,200,B3
189,189,B3
194,194,B3
195,195,B3
196,196,B3
197,197,B3
199,199,B3
379,379,B8
331,331,B7
332,332,B7
333,333,B7
384,384,B8
334,334,B7
335,335,B7
385,385,B8
336,336,B7
420,420,B9
337,337,B7
386,386,B8
421,421,B9
338,338,B7
422,422,B9
339,339,B7
423,423,B9
340,340,B7
341,341,B7
342,342,B7
343,343,B7
387,387,B8
344,344,B7
345,345,B7
346,346,B7
347,347,B7
348,348,B7
349,349,B7
424,424,B9
350,350,B7
425,425,B9
426,426,B9
351,351,B7
427,427,B9
428,428,B9
429,429,B9
388,388,B8
389,389,B8
390,390,B8
391,391,B8
352,352,B7
353,353,B7
354,354,B7
392,392,B8
355,355,B7
356,356,B7
430,430,B9
431,431,B9
432,432,B9
433,433,B9
434,434,B9
415,415,B9
435,435,B9
393,393,B8
394,394,B8
395,395,B8
255,255,B5
256,256,B5
191,191,B3
114,114,B1
115,115,B1
192,192,B3
193,193,B3
119,119,B1
120,120,B1
121,121,B1
131,131,B1
163,163,B2
164,164,B2
132,132,B1
133,133,B1
282,282,B5
436,436,B9
134,134,B1
167,167,B2
207,207,B3
318,318,B6
399,399,B8
320,320,B6
168,168,B2
314,314,B6
317,317,B6
283,283,B5
322,322,B6
208,208,B3
245,245,B4
171,171,B2
323,323,B6
277,277,B5
169,169,B2
170,170,B2
398,398,B8
165,165,B2
361,361,B7
206,206,B3
166,166,B2
244,244,B4
362,362,B7
321,321,B6
319,319,B6
292,292,B6
138,138,B2
172,172,B3
117,117,B1
176,176,B3
284,284,B6
173,173,B3
209,209,B4
210,210,B4
101,101,B1
184,184,B3
113,113,B1
312,312,B6
275,275,B5
276,276,B5
141,141,B2
211,211,B4
212,212,B4
213,213,B4
177,177,B3
248,248,B5
178,178,B3
102,102,B1
249,249,B5
286,286,B6
214,214,B4
103,103,B1
142,142,B2
179,179,B3
143,143,B2
250,250,B5
180,180,B3
287,287,B6
215,215,B4
144,144,B2
104,104,B1
251,251,B5
145,145,B2
146,146,B2
147,147,B2
181,181,B3
288,288,B6
148,148,B2
149,149,B2
289,289,B6
182,182,B3
105,105,B1
150,150,B2
151,151,B2
252,252,B5
290,290,B6
253,253,B5
153,153,B2
106,106,B1
216,216,B4
254,254,B5
107,107,B1
183,183,B3
108,108,B1
217,217,B4
218,218,B4
154,154,B2
291,291,B6
155,155,B2
156,156,B2
219,219,B4
152,152,B2
297,297,B6
220,220,B4
