FID,IID,PS_PL1,PS_PL2,PS_PL3,PS_PL4,PS_PL5,PS_PL6,PS_PL7,PS_PL8,SM_PL9,SM_PL10,SM_PL11,SM_PL12,SM_PL14,SM_PL16,SM_PL18,SM_PL19,SM_PL21,SM_PL22,SM_PL24,SM_PL25,PE_PL26,PE_PL27,PE_PL28,PE_PL30,PE_PL31,PC_PL33,PC_PL34,PC_PL35,PC_PL36,PC_PL37,PC_PL38,PC_PL39,PC_PL40,PC_PL43,PC_PL44,PI_PL46,PI_PL47,PI_PL48,PI_PL49,PI_PL50,PI_PL51,LPC_PL52,LPC_PL53,LPC_PL55,LPC_PL56,LaCer_PL57,LaCer_PL58,LaCer_PL59,LaCer_PL60,LaCer_PL61,LaCer_PL62,LaCer_PL64,LaCer_PL66,Glucer_PL67,Glucer_PL69,Glucer_PL70
313,313,2611327,5778710,4493105,15144944,14617370,5070786,6014597,3796063,12595090,5298555,9825698,55041511,18954079,34027944,4365129,45043297,3338457,39709161,5541683,21055734,8251641,31969675,26748793,37549075,70130098,26140997,121187471,30574745,51470608,109822725,33029422,64570873,129674532,31943830,49507828,5017599,6318682,6463185,1026369,1242996,961836,6959073,1333499,2255245,1433464,2203177,755153,1196881,1413574,1527225,3306574,3670918,2071740,1196500,1278749,654494
201,201,950654,3058922,3589796,13620682,18156904,4308116,6885939,4420371,11177794,4768664,8699417,49569283,21954647,38270235,5317858,51236269,5821979,43742459,5426737,26252286,3643529,12196357,19141646,21099248,60131143,14164119,59883505,15652137,24879426,49230180,9317909,24168963,88376905,19966176,48168183,1813838,4476932,4718630,917880,1166059,923317,5212143,1431139,10481842,1342743,787306,735389,1351532,1360858,1523298,2794296,2984323,1683935,1022639,1270501,639473
357,357,1518317,3598960,3142456,13067919,15781457,4531910,6825367,4439486,9960326,3530525,7078926,46922897,20163235,42255638,3638964,49020235,3131596,51495524,3652883,26145005,4739294,21700430,26614591,25683293,66171524,13284217,76631322,17850547,24552710,70090976,15773479,37889340,107820323,21424355,40182517,3171555,5675084,6031410,1015912,1216966,925705,3960381,1149247,1610718,1277090,464010,405998,536519,861105,778347,1579275,2060206,908669,767058,1048329,562753
116,116,3381091,5457265,6977133,18081570,12797846,6278164,5768041,6370661,12922847,6291560,10583547,58287272,18844233,43510386,3562584,52968682,3308989,59546809,3268126,27497690,7601071,34719070,24444885,43560626,62628990,43942776,164450924,37695458,44509553,118004985,22002329,63712034,117281423,26019128,34880902,4334600,7563646,7897411,1392417,2080149,1637153,8174346,1943534,2668550,1286214,1890520,565712,1956205,2060516,NA,4011183,5890899,2863805,1218082,1464058,836103
396,396,1585704,4534229,3393671,13379762,14372216,5106788,6309583,5733625,11217930,3393365,8806088,53778820,20976419,39803593,4129309,50177401,3602312,46754737,3950807,25738252,4756644,16767061,21971073,24848550,63447374,15232295,77656432,17640566,30756078,75966623,13566157,34556579,103590886,22726998,47386063,3069002,4924595,5745357,1176963,1724349,1260649,4130630,1043567,2447956,1054819,602335,556761,691644,1001190,897098,2101581,2476483,1247159,953058,1247052,693188
202,202,1120933,3569330,3795386,15277514,18386831,4665940,6658508,3268231,13841621,5138467,7954325,50525320,26695982,38640711,5196207,53477555,5332147,41042853,4693011,25792800,3348554,12531417,18988524,23381730,65981394,9007957,47683457,11212167,23076833,45966487,9427315,29090227,104156409,24680733,59686887,1870279,4426432,5875440,724705,970983,743692,3682101,861374,7805292,1244330,866837,973978,1464135,1431963,1284912,3282814,2945689,1750535,987168,1487092,650539
397,397,1788472,4434161,3103778,12089684,13912690,4451578,6328392,5155694,10295926,4422132,10142142,57185255,17132122,37467800,3415166,51268893,3596661,54078745,3945921,28618869,6798823,23699644,28445194,26874825,66285271,23852945,101747181,28167709,32715485,83433555,13706565,38539466,112912279,21214676,37298201,4240109,4875877,6941001,1008643,1380248,1155449,6209612,1534232,2597262,1587137,1040972,756853,1095825,1677003,1564007,3715272,4880393,2338131,764922,1109506,537073
118,118,1754529,3954496,6141410,18825066,17711220,5667664,7362349,6978681,14114090,5973930,13872912,83555721,18798146,43563403,3510343,64927867,3805890,79470312,3970513,35782813,5938489,28991150,25247870,40488685,71362080,24799841,118627092,33904606,34320006,126697549,20128205,51536661,127434924,27585528,42689654,4481352,6505795,7114341,1038610,1425278,1104193,11608185,2786285,3952132,2329049,1503055,497393,943097,1597182,1605522,3505032,6027276,2866660,1039915,1085636,671950
358,358,1985319,4110479,2951213,10962142,11125521,4157171,5031823,4436471,7847516,2880378,7005514,38121645,13231225,32004912,2668804,37337598,2430884,40471568,2839072,20745092,6455623,27424469,25480437,25085977,53785726,27440604,100068541,25521932,34113508,74882550,15585147,42610625,114780490,17851727,31325087,3792796,5058363,7298725,988227,1247052,1034313,4959972,1353180,1489516,1201581,778665,667004,1198339,1616571,1915796,2857848,3886014,1737906,1041862,1254715,718687
278,278,2737304,6219816,4645805,14503402,14915435,4855688,6328201,5121787,11207506,5545623,12574368,73664628,16295415,30916449,3525801,49995224,3570723,50231269,3848147,25174624,9445301,38987536,33573775,41553891,78207620,24645490,124120214,37861522,49527841,131395586,36281691,61957254,161043124,34875651,51383351,7407180,7839921,8799107,1006969,1190598,904987,13917722,2718337,4318588,2442092,1838745,540279,1057206,1143602,1394932,3463181,4224817,2073079,1608633,1729791,1022967
185,185,1306275,3935255,4442229,16871520,21597847,4949409,7491497,5037757,16501753,5455149,11284877,62709161,26753785,44399375,5736318,56324548,6142423,46725039,5233104,26988982,5460049,17141971,23097924,26201071,72810536,24448364,89312249,19737711,35746832,67825542,11125183,30051345,111084762,24734746,60914431,2767339,4897889,6163382,822291,864826,659183,5537831,1119479,5297923,1747080,1284248,1175300,1633937,2110895,1814473,4460333,4666351,2568842,1625530,1980235,822388
186,186,2149975,5049777,4820494,15992515,18247247,4938017,7015633,5118239,13062413,4903752,10578052,62031589,21271519,43113667,5507659,60745768,6426953,60672239,6042386,33244738,6936417,25770600,26356189,31607774,64681764,30100792,108167049,31054579,32963756,91726275,14274651,39102056,110874797,24890944,42842171,3749886,5495569,5983370,817142,918750,705685,17405930,3093712,6824172,4204583,1015454,754004,1157239,1573768,1509336,3637161,4401850,2243510,1488307,1583888,758121
243,243,1817590,3476100,4294386,14634641,15510120,4542840,5758568,5336776,13116174,5557757,8594716,50590843,21740447,36857651,3879281,49158542,2791613,41532848,3547446,22587413,6767373,28850059,27613254,35649201,71486265,34747568,141108763,30393380,44578456,115448986,34396100,62952729,149317889,31815221,53676344,6245657,8837961,12115932,1186434,1463971,1231826,17868323,2728354,4331338,3103561,1235910,1146412,2169692,1898686,2345079,4151786,4224941,2211153,1358934,1860482,950268
315,315,1868824,3794794,4116920,13574306,14016878,4656076,5883858,4778251,11379313,4083839,8767137,53079454,21498095,39455363,3535814,50568727,3096597,47093224,3346404,24645214,5777496,28224463,29469300,34663630,69408679,22675794,127236067,30849305,37335298,120874135,35679688,59300632,144254905,30973282,47800706,4563054,6775554,7272955,1134525,1439153,1177061,7663267,1583122,2316164,1297459,1037061,623237,921784,1178216,1199106,2686282,3059788,1524615,1028801,1393850,723135
359,359,2134570,4198216,3428042,12099414,12246133,4351836,5555166,4391595,10221584,4499849,9879172,49028351,15986790,39289948,3232662,48706616,3232553,53333560,3281685,26656453,8584038,33909329,28536457,31499825,60676233,23549391,95064834,24642623,33401601,75162323,17258878,45635297,98064424,21142755,31654402,4826381,5825471,6525293,898851,1009702,768127,3157120,1041883,1997321,881509,901270,628781,1261849,1533393,1967971,2995250,4148658,1901290,1086316,1327620,793818
122,122,2379354,5754523,5080103,17334721,18327600,5504971,6945879,7484102,14839239,5588824,10209186,70615053,24362171,47662311,4721746,62964468,3320405,60091372,5148053,35008721,5670116,25012219,29177394,33279459,68525145,19689227,104053701,20945644,29608020,95201200,15746558,46494315,123080838,25469688,40921077,3809680,5996940,7198808,1450381,2407673,1780191,10327201,2254013,3983153,1843164,1342445,814310,1444459,1714158,2025476,3539568,4834922,2924231,1641583,1894781,1203453
123,123,2177668,4761142,4817838,15584820,17703428,4859634,6998848,6332445,12936431,5395820,10513319,66994086,21112792,47332739,3804895,64001238,3870612,72506120,4014272,35235890,6588179,29068212,29301674,33582163,65368841,22059329,101462273,24258771,28051038,92736521,15658523,42367335,115842822,22736339,37743065,4152457,5687125,6564107,967346,1233261,1059953,24916247,5284112,5436600,4277177,1528937,660852,1304595,1680415,2110005,3534481,5579873,2626168,1739003,1745216,1016104
161,161,3545216,6228317,4842054,11688478,9502046,5087813,4672258,5639921,10867806,3567430,10227850,61906939,13895305,28213065,3849271,42757300,3852425,45744045,4492010,23343290,10802501,37157470,21421635,31152231,42857728,39633557,138381385,33067092,44113328,122507455,18575270,49531488,103905255,21404787,27649431,4209494,4507906,4009869,952718,955586,628161,17482564,4254259,3832089,2072878,1199418,707120,1083793,1700122,1556269,4049295,5209014,2520052,1387533,1496742,796553
124,124,2487209,5325489,5234441,15536043,16432467,4741053,6422440,4728691,12013936,6084459,11461838,69102492,16210694,40109976,3139103,56750665,3545150,68587198,3532067,32822101,8729001,33938147,30134905,37343827,71712224,31912396,122050576,29052202,37770174,104073680,19223808,50128957,117387179,25202559,39384023,5067428,6561436,7789552,1047680,1369613,1091365,7996767,1823748,4363246,1434668,1913418,727182,1735920,2170455,3099465,4611921,7715059,3862336,1563528,1501718,1005637
162,162,1600728,3636551,4018075,12700867,13928915,4369021,5794307,6336203,12955925,5106021,9827053,50308764,18338286,39188467,3604386,49652458,3088211,48754373,3512922,26303075,6238594,22313953,20965105,26798219,53762176,26489617,97094586,22618771,29889122,75839772,14061412,40286057,98932339,22461877,39069494,2784848,4496369,6305545,1080953,1437193,1191909,12213946,3215905,11566781,1861584,1074906,767397,1451693,1762289,2135012,3512692,4336286,2170147,1561794,1777951,1096015
125,125,3106230,6534692,5596975,16511614,15605901,5481822,6412039,5328473,13485867,5740158,12175381,64004324,19544274,40612481,4218605,59255509,3789420,58394897,6045125,32312319,6620354,29377432,27314633,34208382,62138255,25272854,101664539,28541743,32470295,92432824,16282414,45151495,121597863,22669252,39270745,4118587,5937081,8053149,1112887,1606576,1344144,11280904,2543666,4621733,2055729,1958601,722328,1332936,1727197,1880762,3620912,5046316,3256247,1708250,1871053,1140855
279,279,2727426,5299211,4406151,13353439,12349679,4635408,5199148,3683959,10059857,4146281,9876790,45175249,17786834,31134460,3201383,43572596,2740820,37081697,2991402,19587659,6956530,29738007,24923030,36966192,65552050,26579074,115688449,35136673,42186299,93716322,28170679,48586827,125737184,28631587,44768004,5298902,7139824,8417906,926344,1165748,957236,7179299,1398860,2349260,1318766,1409877,841016,1546346,1543759,1720611,3565126,3697754,1965552,1214601,1661246,902505
203,203,1205182,3270634,4381029,15493274,19262353,4700821,7374785,5047260,11815728,5270644,9343609,49561628,21514855,41188831,5099374,57397459,5636798,54685199,5172090,29986220,5309625,16451649,22699134,26983182,68585427,18099930,65637332,17930529,25301975,53124165,10898157,27917540,88371145,20362096,42968538,2058128,4712297,5472635,676979,882449,702516,6755619,1480126,6642638,2533121,1181223,1064856,2020081,1976972,2432965,4140018,4686394,2385574,1490499,1564751,758859
126,126,2570309,4511334,4412026,12407564,10129171,4401855,4644509,4619874,9209472,3747093,8469660,45775114,12627039,34109469,2710000,40955832,2837776,49972323,2739804,23400198,6506281,28970644,23276819,33927634,53384279,28686801,105239069,26155755,30065571,83536215,15856086,43508935,81393384,18990462,24600696,3048762,4635785,5205293,1010564,1359530,1037709,14589617,3356608,3589070,2500253,1017258,470099,957991,1400435,1875365,2511818,4494542,2058306,1518327,1551155,1004275
