dataset_id,path,status,species,origin,ancestry,n_individuals,n_markers,genotype_format,genome_build,ld_description,pedigree_family_structure,source,generation_script,seed,creation_date,bed_sha256,bim_sha256,fam_sha256,bed_bytes,bim_bytes,fam_bytes,source_release,source_sha256,simulator_versions,validation_report
mouse,mouse_data/mouse,complete,mouse,not_recorded_in_repository,not_applicable,1267,1813,PLINK1_BED_BIM_FAM,not_recorded,"LD structure of the imputed source hard calls; marker coordinates and alleles unavailable","68 pedigree family labels; sire dam and sex retained","mouse_data/genotypes_imputed.rds and mouse_data/pedigree.rds",scripts/build_mouse_plink.R,not_applicable,2026-08-17,219c3698379e9e52a8106a0e8f6ff71460314a09c2ca579945d8559c0197b300,b61918bb39efebe96b7f5aab43794100c48bb1dea550df65dea63606aa6fb23a,107c70d9f367ca4e6842edb70d23cb748e6b2b77f8602ac6d25097ae86f6972b,574724,26088,26575,not_recorded,,,mouse_data/mouse_validation.txt
human_independent,simulated_human_data/human,complete_protected,human,"simulated legacy fixture; method not recorded",not_recorded,5000,50000,PLINK1_BED_BIM_FAM,not_recorded,"described by downstream name as independent; generation provenance absent","FID equals IID; parents and sex unknown","existing protected repository files",not_recorded,not_recorded,not_recorded,831b33866e4e6382e7ce80ce99e85bbc4d3ada6e00fabd3da97c2db16a8fc74e,e64ba3e68e0dcb5d06a7e4af520fb9a2966696116d674735674a90eaa0a23913,3ec886498fc333334e5d33f259f17767a012df8c119b023b338e81b6b5fa40da,62500003,1932359,122786,not_recorded,,,
1000g_sample_chr1,1000G/sample_chr1,complete_legacy,human,"real reference fixture; exact extraction provenance not recorded",not_recorded,489,1000,PLINK1_BED_BIM_FAM,GRCh37,"stored chromosome is 21 despite legacy chr1 prefix","FID equals IID; parents and sex unknown","existing repository fixture",not_recorded,not_recorded,not_recorded,4402de6360a391b7256c3a4c157b3799c54705bab6498d21096d05083fc41753,a542bc82a70a01da011dc9b282042ff04a1ac237f4acd3f8be72fee75cbe7ae4,45327fd9a198b6844b0911a0d56c5f210dfe375049085325b61863ab98ab1fac,123003,40257,12714,not_recorded,,,
1000g_sample_chr2,1000G/sample_chr2,complete_legacy,human,"real reference fixture; exact extraction provenance not recorded",not_recorded,489,1000,PLINK1_BED_BIM_FAM,GRCh37,"stored chromosome is 22 despite legacy chr2 prefix","FID equals IID; parents and sex unknown","existing repository fixture",not_recorded,not_recorded,not_recorded,8fdc522752f2a8cddec269cc912d33e56507fb855dd570bee8f1cce580b65311,072aec4394a79e156b9d7b1142cca7c42dac5beed39a562486b243e49853ca11,45327fd9a198b6844b0911a0d56c5f210dfe375049085325b61863ab98ab1fac,123003,38539,12714,not_recorded,,,
human_1000g_eur,human_1000g_eur/human_1000g_eur,available_validated,human,simulated_from_phased_reference_haplotypes,EUR,5000,50000,PLINK1_BED_BIM_FAM,GRCh37,"ancestry-specific LD inherited from phased CEU GBR FIN IBS TSI haplotype mosaics at copying rate 20","5000 unrelated synthetic individuals; FID equals IID; parents and sex unknown","1000 Genomes Phase 3 final 20130502 chr22; CEU GBR FIN IBS TSI",scripts/build_human_mosaic.R,20960818,2026-08-17,39e8ff00f11ebafe8d39e3d602b08df21dfd38f5972af41176d39261bdef6dce,4d1d305a3761859ff3623498eaec0c3e6411a6c64f750b7b1e0a66f022127ca9,2c23d281118649e85befdcb747f80816525efc0dee7dc0ec9400fc5d45678f48,62500003,2363322,215000,1000_Genomes_Phase_3_final_20130502_GRCh37_chr22_v5b,a90c16c4ff2b3196476d506ae13cb3047fae8670163c7c932c4b0239aef3daf5,"base-R blockwise mosaic rate 20; R 4.4.1; genio 1.1.2; qgg 1.1.6; PLINK 2.0.0-a.7.3",validation/human_validation_report.md
human_1000g_afr,human_1000g_afr/human_1000g_afr,available_validated,human,simulated_from_phased_reference_haplotypes,AFR,5000,50000,PLINK1_BED_BIM_FAM,GRCh37,"ancestry-specific LD inherited from phased ESN GWD LWK MSL YRI haplotype mosaics at copying rate 25","5000 unrelated synthetic individuals; FID equals IID; parents and sex unknown","1000 Genomes Phase 3 final 20130502 chr22; ESN GWD LWK MSL YRI; ASW ACB excluded",scripts/build_human_mosaic.R,20960819,2026-08-17,95b62f2f5caa95211b8b8ebca11f93363bcd552375c298d19a92f3ea8bfa2310,4d1d305a3761859ff3623498eaec0c3e6411a6c64f750b7b1e0a66f022127ca9,26a8e11e6bed9678797a017a5540fbb78c1286dde25427bbe6437893c7a28ed8,62500003,2363322,215000,1000_Genomes_Phase_3_final_20130502_GRCh37_chr22_v5b,a90c16c4ff2b3196476d506ae13cb3047fae8670163c7c932c4b0239aef3daf5,"base-R blockwise mosaic rate 25; R 4.4.1; genio 1.1.2; qgg 1.1.6; PLINK 2.0.0-a.7.3",validation/human_validation_report.md
cattle_milk_lipids,cattle_milk_lipids/cattle_milk_lipids,available_validated,cattle,real,not_applicable,336,593870,PLINK1_BED_BIM_FAM,not_recorded_in_source,"real LD in source HD imputed Run7 1000 Bull Genomes genotypes","source FID IID parental sex and family fields retained","Dryad DOI 10.5061/dryad.bcc2fqzph; Polar_Lipids_Phenotypes_HDGenotypes.zip",scripts/build_livestock_data.R,not_applicable,2026-08-17,cda1fc9f8d2b3bf6b39cab302735cff68aa5c2a8a3fd64967b31ecd54f909287,d7a2936e5c5b0945a9f63c843f5c145683925bd591e49d7d5aad7411c5972687,c118e4366977fcd2dbf94d8600168b480a2e5f946407a1c4a08ac45cc9cfabbb,49885083,17261990,5712,Dryad_version_368250,d92af1f1ddd63b401b18e88d6b65ed20cdc5c366cdff24fde16224c1d34f9590,"source PLINK copied byte-identically; R 4.4.1; qgg 1.1.6; genio 1.1.2; PLINK2 2.0.0-a.7.3 validation",cattle_milk_lipids/validation.txt
pig_blood_lipids_laiwu,pig_blood_lipids/laiwu/laiwu,available_validated,pig,real,Laiwu,316,61565,PLINK1_BED_BIM_FAM,not_recorded_in_source,"real population-specific source LD; no marker QC or cross-population harmonization","source FID IID parental sex and family fields retained","Dryad DOI 10.5061/dryad.4gh70; Primary_data.zip; Laiwu GWAS PED/MAP",scripts/build_livestock_data.R,not_applicable,2026-08-17,78878d467c93026dbb658ac7ae52eefe655f8d4cb72b531518b3116d9e47dcd7,6214f2f5c2ba1de65d56b5740c34d2e8d9c6e6e3a79f33a96a76a3c0d72aa722,0da2b4c592b48c88856b5c07b2efa326603eb872bcd0ecc21b49c8004453ee21,4863638,1847112,5856,Dryad_version_25357,71b2014f71c9fc2cbd2f1923fa1da9c46d2d9523041292ef7a4e6966f6e50a05,"PLINK2 2.0.0-a.7.3 PED/MAP conversion; R 4.4.1; qgg 1.1.6; genio 1.1.2",pig_blood_lipids/validation.txt
pig_blood_lipids_erhualian,pig_blood_lipids/erhualian/erhualian,available_validated,pig,real,Erhualian,334,61565,PLINK1_BED_BIM_FAM,not_recorded_in_source,"real population-specific source LD; no marker QC or cross-population harmonization","source FID IID parental sex and family fields retained","Dryad DOI 10.5061/dryad.4gh70; Primary_data.zip; Erhualian GWAS PED/MAP",scripts/build_livestock_data.R,not_applicable,2026-08-17,275760ce7f057a17fcd066b84ce74ee1829fc93e1ee0f65a2d5d6a18c2d6bfa6,0e45ff683b8808964f83502ff455af586ddc0cc7a3d11acb1960e7334764cf2f,e7394cbd8a33a540d18ea91e72b6d492338a41f290645a9755019fe8517eaebf,5171463,1847112,6576,Dryad_version_25357,71b2014f71c9fc2cbd2f1923fa1da9c46d2d9523041292ef7a4e6966f6e50a05,"PLINK2 2.0.0-a.7.3 PED/MAP conversion; R 4.4.1; qgg 1.1.6; genio 1.1.2",pig_blood_lipids/validation.txt
pig_blood_lipids_dly,pig_blood_lipids/dly/dly,available_validated,pig,real,Duroc_x_Landrace_x_Yorkshire,610,61565,PLINK1_BED_BIM_FAM,not_recorded_in_source,"real population-specific source LD; no marker QC or cross-population harmonization","source FID IID parental sex and family fields retained","Dryad DOI 10.5061/dryad.4gh70; Primary_data.zip; DLY GWAS PED/MAP",scripts/build_livestock_data.R,not_applicable,2026-08-17,76a5dcbe0af5c6a570143143e212f918e26b0fd51a1e0daad6a686d33880f74b,0f7f24190f16ad21cdf0a13d9158fd44f4b35cd7fd8b1063a41ee3159b84f9bc,748fc9f13b8570baaf843cfcfb5e7d1dabbf7b08b641241d30cbb7e3ba29d280,9419448,1847112,12702,Dryad_version_25357,71b2014f71c9fc2cbd2f1923fa1da9c46d2d9523041292ef7a4e6966f6e50a05,"PLINK2 2.0.0-a.7.3 PED/MAP conversion; R 4.4.1; qgg 1.1.6; genio 1.1.2",pig_blood_lipids/validation.txt
